gender,age,study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular,internet_access,parental_support,final_score
Female,22,2.1,61.4,91.5,9,8.3,No,Yes,High,60.8
Male,17,7.2,70.7,43.5,10,7.0,No,Yes,Medium,66.3
Female,17,7.1,75.3,85.4,10,5.4,No,Yes,Medium,67.0
Female,17,1.2,88.7,56.1,7,7.7,No,Yes,Medium,45.3
Female,21,6.8,84.3,64.4,5,6.8,Yes,Yes,Low,62.5
Male,20,1.9,82.9,41.2,6,7.2,Yes,Yes,Medium,45.7
Female,21,3.3,70.9,56.6,5,6.6,No,Yes,High,62.6
Female,20,6.2,92.9,67.6,7,8.2,No,Yes,Medium,77.5
Female,21,2.1,76.2,43.1,3,8.2,No,Yes,Medium,39.1
Male,21,6.7,99.1,67.0,7,7.7,No,Yes,Medium,73.2
Female,22,6.8,83.5,91.0,8,5.0,No,Yes,Medium,77.5
Female,19,4.6,60.7,45.8,9,8.3,No,Yes,Medium,55.1
Female,21,1.0,85.4,82.0,3,7.5,Yes,Yes,High,49.3
Female,22,3.0,69.6,62.5,9,7.6,No,Yes,Medium,58.7
Male,18,5.3,85.9,76.0,8,6.1,No,Yes,High,69.8
Female,19,7.9,58.1,54.3,4,8.5,Yes,Yes,Medium,60.2
Male,21,5.4,62.9,48.8,7,7.8,No,Yes,High,62.3
Male,17,2.8,93.5,48.8,7,5.0,Yes,Yes,Medium,49.9
Male,18,5.4,65.2,43.9,6,6.3,No,Yes,Medium,47.8
Female,18,4.8,92.7,50.2,5,8.5,Yes,Yes,Medium,59.9
Male,22,6.5,67.6,76.5,3,4.7,No,Yes,High,63.5
Female,18,1.7,83.9,88.5,10,8.8,Yes,Yes,High,66.8
Male,19,6.3,86.2,84.8,9,7.6,No,Yes,Low,77.1
Male,21,4.8,78.1,77.7,3,7.3,Yes,Yes,Low,49.5
Male,21,7.7,68.7,46.1,6,5.7,Yes,Yes,High,61.3
Male,17,3.4,64.6,55.9,6,5.6,No,Yes,Medium,49.1
Male,22,5.4,56.5,57.0,9,8.7,No,Yes,Medium,60.0
Male,17,7.5,68.7,53.7,10,5.8,Yes,Yes,Medium,66.5
Male,18,1.7,84.4,68.3,5,8.0,Yes,Yes,Low,60.1
Male,17,7.6,97.2,69.5,9,6.3,No,Yes,High,74.3
Female,19,5.8,94.2,59.6,9,5.1,No,Yes,High,80.0
Female,21,1.5,89.5,59.5,8,4.5,No,Yes,Medium,53.8
Male,18,3.1,90.5,85.6,10,6.9,Yes,Yes,Medium,71.2
Male,17,6.0,84.9,83.4,5,8.9,No,Yes,High,74.8
Male,22,1.5,66.7,56.9,7,6.2,Yes,Yes,Low,58.1
Female,19,5.1,95.8,90.3,8,6.1,Yes,Yes,High,72.5
Male,19,3.4,85.2,92.4,4,6.0,No,Yes,Medium,55.6
Female,17,5.3,80.2,58.0,10,6.8,No,Yes,Medium,62.3
Female,21,1.3,60.0,59.5,5,6.5,No,Yes,High,47.7
Female,17,7.1,75.1,67.8,6,8.5,Yes,Yes,Medium,61.6
Female,18,7.8,75.7,91.8,8,6.8,Yes,Yes,Medium,79.5
Female,17,7.8,93.9,88.2,5,6.8,Yes,Yes,Medium,83.7
Male,19,6.2,79.6,45.6,3,5.1,No,Yes,Medium,52.1
Male,17,1.9,72.1,61.6,9,8.9,Yes,Yes,Medium,57.7
Male,21,6.3,99.0,70.4,4,5.6,Yes,Yes,High,65.2
Male,22,1.2,60.0,67.7,7,4.8,Yes,Yes,High,56.5
Male,20,1.2,74.0,50.7,9,7.5,No,Yes,Medium,47.6
Female,17,3.3,56.9,87.2,3,7.2,Yes,Yes,Medium,64.5
Male,21,4.4,88.3,77.2,3,6.4,No,Yes,Low,64.0
Male,21,6.4,96.3,86.1,4,6.4,Yes,Yes,Low,68.3
Female,22,5.8,67.6,87.2,7,8.0,No,No,Medium,68.9
Male,19,4.1,93.6,81.2,6,5.4,Yes,Yes,High,72.2
Female,21,2.9,68.1,64.2,8,8.2,No,Yes,Medium,62.8
Male,21,8.0,96.0,73.6,10,7.4,No,No,High,78.4
Female,21,4.0,88.9,48.8,7,6.4,Yes,Yes,Low,51.9
Male,21,4.2,91.2,77.1,10,6.6,No,Yes,Medium,63.6
Male,18,2.1,55.8,49.9,5,5.7,No,Yes,Medium,44.4
Female,18,6.6,98.3,78.2,3,7.9,No,Yes,Medium,70.3
Female,19,5.9,87.7,52.6,5,6.8,No,Yes,Low,49.8
Female,17,2.5,68.7,46.5,6,5.9,Yes,Yes,High,48.7
